iter	Passed	Remaining
0	60	18147
1	61	9213
2	63	6253
3	64	4783
4	65	3890
5	67	3290
6	68	2857
7	69	2532
8	70	2281
9	72	2101
10	73	1933
11	74	1793
12	75	1673
13	76	1571
14	78	1482
15	79	1406
16	80	1338
17	81	1275
18	82	1219
19	83	1170
20	84	1124
21	85	1082
22	86	1046
23	88	1014
24	89	983
25	90	956
26	91	928
27	92	903
28	94	879
29	95	856
30	96	835
31	97	815
32	98	796
33	99	779
34	100	761
35	101	745
36	102	730
37	104	717
38	105	702
39	106	689
40	107	677
41	108	665
42	109	653
43	110	642
44	111	631
45	112	622
46	113	613
47	114	603
48	116	595
49	117	587
50	118	578
51	119	570
52	120	562
53	121	554
54	122	547
55	123	540
56	125	533
57	126	526
58	127	520
59	128	514
60	129	508
61	130	501
62	131	496
63	133	490
64	134	484
65	135	479
66	136	474
67	137	469
68	138	464
69	139	459
70	140	454
71	141	449
72	143	444
73	144	440
74	145	436
75	146	431
76	147	426
77	148	422
78	149	418
79	150	414
80	152	411
81	153	406
82	154	403
83	155	399
84	156	395
85	157	391
86	158	388
87	159	385
88	160	381
89	161	377
90	163	374
91	164	371
92	165	368
93	166	364
94	167	361
95	168	358
96	169	355
97	171	352
98	172	349
99	173	346
100	174	343
101	175	340
102	176	337
103	177	334
104	179	332
105	180	330
106	181	327
107	182	324
108	183	322
109	185	319
110	186	317
111	187	315
112	188	312
113	189	309
114	191	307
115	192	305
116	193	303
117	195	302
118	196	299
119	198	297
120	199	294
121	200	292
122	201	290
123	203	288
124	204	286
125	205	283
126	206	281
127	207	279
128	208	276
129	209	274
130	211	272
131	212	270
132	213	267
133	214	265
134	215	263
135	217	261
136	218	259
137	219	257
138	220	255
139	221	253
140	222	251
141	223	248
142	224	246
143	225	244
144	227	242
145	228	240
146	229	238
147	230	236
148	231	235
149	233	233
150	234	231
151	235	229
152	236	227
153	237	225
154	238	222
155	239	221
156	240	219
157	241	217
158	242	215
159	243	213
160	245	211
161	246	209
162	247	207
163	248	206
164	249	204
165	251	202
166	252	200
167	253	199
168	254	197
169	255	195
170	256	193
171	257	191
172	258	190
173	259	188
174	261	186
175	262	184
176	263	183
177	264	181
178	266	179
179	267	178
180	268	176
181	269	174
182	270	172
183	271	171
184	272	169
185	273	167
186	275	166
187	276	164
188	277	162
189	278	161
190	279	159
191	280	157
192	281	156
193	283	154
194	284	153
195	285	151
196	286	149
197	287	148
198	288	146
199	289	144
200	291	143
201	292	141
202	293	140
203	294	138
204	295	137
205	296	135
206	298	134
207	299	132
208	300	130
209	301	129
210	302	127
211	304	126
212	305	124
213	306	123
214	307	121
215	308	120
216	309	118
217	310	116
218	312	115
219	313	113
220	314	112
221	315	110
222	316	109
223	317	107
224	318	106
225	320	104
226	321	103
227	322	101
228	323	100
229	324	98
230	325	97
231	327	95
232	328	94
233	329	92
234	330	91
235	331	89
236	332	88
237	334	87
238	335	85
239	336	84
240	337	82
241	339	81
242	340	79
243	341	78
244	342	76
245	343	75
246	344	73
247	345	72
248	346	71
249	347	69
250	348	68
251	349	66
252	351	65
253	352	63
254	353	62
255	354	60
256	355	59
257	356	58
258	357	56
259	358	55
260	359	53
261	361	52
262	362	50
263	363	49
264	364	48
265	365	46
266	366	45
267	367	43
268	368	42
269	370	41
270	371	39
271	372	38
272	373	36
273	374	35
274	375	34
275	376	32
276	377	31
277	379	30
278	380	28
279	381	27
280	382	25
281	383	24
282	384	23
283	385	21
284	386	20
285	387	18
286	389	17
287	390	16
288	391	14
289	392	13
290	394	12
291	395	10
292	396	9
293	397	8
294	399	6
295	400	5
296	401	4
297	402	2
298	403	1
299	404	0
